reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
McGowan1994JVPa	170	Shastasaurus neoscapularis	McGowan1994JVPa	orig		*	Y	Callawayia neoscapularis		Pardonet Formation			*Epigondolella triangularis* Conodont Biozone		Norian	Upper Triassic	Triassic	Peace Reach, Williston Lake, British Columbia, Canada	CA						37
Merriam1902UCBDG	89	Shastasaurus perrini	Merriam1902UCBDG	orig		*	Y	Californosaurus perrini		Hosselkus Limestone Formation								Shasta County, California, U.S.A.	US						38
Merriam1905AJS	24	Delphinosaurus perrini	Merriam1902UCBDG	ncomb			Y	Californosaurus perrini																	39
Motani2015N	485	Cartorhynchus lenticarpus	Motani2015N	orig		*	Y	Cartorhynchus lenticarpus	urn:lsid:zoobank.org:act:FCCC9BB7-FD52-42F4-B2EC-B0B7E2A1CA32	Nanlinghu Formation	Upper Member		*Subcolumbites* Ammonite Biozone		Olenekian	Lower Triassic	Triassic	Majishan Quarry, Chaohu City, Hefei, China	CN	50R 577953 3499041	31.623889	117.821944		urn:lsid:zoobank.org:pub:9CFFEE63-2B8A-4C01-B9C7-CD3C53D684F5	40
Nace1939AJS	674	Myopterygius americanus	Nace1939AJS	orig		*	Y	Platypterygius americanus		Graneros Formation	Mowry Shale Member							Crook County Wyoming, U.S.A.	US						41
Nicholls2001CJES	985	Metashastasaurus neoscapularis	McGowan1994JVPa	ncomb			Y	Callawayia neoscapularis		Pardonet Formation					Norian	Upper Triassic	Triassic	Chicken Creek, British Columbia, Canada	CA						42
Roberts2014PO	4	Janusaurus lundi	Roberts2014PO	orig		*	Y	Arthropterygius lundi	urn:lsid:zoobank.org:act:71E65B35-7215-44AA-BCE7-E9A3B265E04F	Agardfjellet Formation	Slottsmøya Member				middle Volgian	Upper Jurassic	Jurassic	Janusfjellet, Spitsbergen, Svalbard	SJ	33X 518821 8696195	78.337733	15.834067	*fide* @Zverkov2019P	urn:lsid:zoobank.org:pub:FF4834F1-AEED-4B08-8E74-7125801C1B3E	43
Romer1968CGUW	27	Myopterygius americanus	Nace1939AJS	orig			Y	Platypterygius americanus		Graneros Formation	Mowry Shale Member							Osage, Wyoming, U.S.A.	US						44
Russell1993BGSC	198	Ophthalmosaurus chrisorum	Russell1993BGSC	orig		*	Y	Arthropterygius chrisorum		Ringnes Formation					Oxfordian–Kimmeridgian	Upper Jurassic	Jurassic	Cape Grassy, Melville Island, Canada	CA	12X 433220 8453461	76.151111	-113.5			45
Seeley1869	65	Ichthyosaurus walkeri	Seeley1869	orig		*	Y	Cetarthrosaurus walkeri		Gault Formation					late Albian	Lower Cretaceous	Cretaceous		GB				Reworked into Cambridge Greensand Member (Lower Chalk Formation; early Cenomanian). Described from a cast.		46
